original_review,cleaned_review,tokens,sentiment
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",personally love hummus pita baklava falafel baba ganoush amaze eggplant,personally love hummus pita baklava falafel baba ganoush amaze eggplant,1
Never again will I be dining at this place!,never din place,never din place,0
The restaurant atmosphere was exquisite.,restaurant atmosphere exquisite,restaurant atmosphere exquisite,1
This one is simply a disappointment.,one simply disappointment,one simply disappointment,0
"Also, the fries are without a doubt the worst fries I've ever had.",also fry without doubt bad fry ive ever,also fry without doubt bad fry ive ever,0
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,different cut piece day still wonderful tender well well flavored,different cut piece day still wonderful tender well well flavored,1
I've never been more insulted or felt disrespected.,ive never insulted felt disrespect,ive never insulted felt disrespect,0
So flavorful and has just the perfect amount of heat.,flavorful perfect amount heat,flavorful perfect amount heat,1
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",love authentic mexican food want whole bunch interest yet delicious meat choose need try place,love authentic mexican food want whole bunch interest yet delicious meat choose need try place,1
The restaurant had a long wait time for a table.,restaurant long wait time table,restaurant long wait time table,0
It was way over fried.,way fried,way fried,0
"I started this review with two stars, but I'm editing it to give it only one.",start review two star im edit give one,start review two star im edit give one,0
"The service was great, even the manager came and helped with our table.",service great even manager come help table,service great even manager come help table,1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",close house lowkey nonfancy affordable price good food,close house lowkey nonfancy affordable price good food,1
The best place to go for a tasty bowl of Pho!,best place go tasty bowl pho,best place go tasty bowl pho,1
But I definitely would not eat here again.,definitely would not eat,definitely would not eat,0
Do yourself a favor and stay away from this dish.,favor stay away dish,favor stay away dish,0
"The food, amazing.",food amazing,food amazing,1
"I got to enjoy the seafood salad, with a fabulous vinegrette.",get enjoy seafood salad fabulous vinegrette,get enjoy seafood salad fabulous vinegrette,1
The servers had an extensive knowledge of the menu.,server extensive knowledge menu,server extensive knowledge menu,1
Great Pizza and Salads!,great pizza salad,great pizza salad,1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",plethora salad sandwich everything ive tried get seal approval,plethora salad sandwich everything ive tried get seal approval,1
But now I was completely grossed out.,completely gross,completely gross,0
The food was flavorless and lacked seasoning.,food flavorless lack season,food flavorless lack season,0
Bacon is hella salty.,bacon hella salty,bacon hella salty,1
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,go give star rating please know third time eat bachi burger write review,go give star rating please know third time eat bachi burger write review,0
Great service and food.,great service food,great service food,1
I had a seriously solid breakfast here.,seriously solid breakfast,seriously solid breakfast,1
"I had strawberry tea, which was good.",strawberry tea good,strawberry tea good,1
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",take min get milkshake nothing chocolate milk,take min get milkshake nothing chocolate milk,0
Everyone is treated equally special.,everyone treat equally special,everyone treat equally special,1
Never had anything to complain about here.,never anything complain,never anything complain,1
It was absolutely amazing.,absolutely amazing,absolutely amazing,1
The waiters were unprofessional and lacked basic manners.,waiter unprofessional lacked basic manner,waiter unprofessional lacked basic manner,0
"Friend's pasta -- also bad, he barely touched it.",friend pasta also bad barely touch,friend pasta also bad barely touch,0
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,get food apparently never hear salt batter fish chewy,get food apparently never hear salt batter fish chewy,0
A lady at the table next to us found a live green caterpillar In her salad.,lady table next find live green caterpillar salad,lady table next find live green caterpillar salad,0
Their monster chicken fried steak and eggs is my all time favorite.,monster chicken fry steak egg time favorite,monster chicken fry steak egg time favorite,1
The waiters were impolite and showed no patience.,waiter impolite show no patience,waiter impolite show no patience,0
The restaurant had a lack of vegetarian-friendly options.,restaurant lack vegetarianfriendly option,restaurant lack vegetarianfriendly option,0
The real disappointment was our waiter.,real disappointment waiter,real disappointment waiter,0
"Point your finger at any item on the menu, order it and you won't be disappointed.",point finger item menu order not disappoint,point finger item menu order not disappoint,1
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",shower area outside rinse not take full shower unless not mind nude everyone see,shower area outside rinse not take full shower unless not mind nude everyone see,0
"Needless to say, I won't be going back anytime soon.",needless say not go back anytime soon,needless say not go back anytime soon,0
first time there and might just be the last.,first time might last,first time might last,0
But the service was beyond bad.,service beyond bad,service beyond bad,0
Good prices.,good price,good price,1
By this time our side of the restaurant was almost empty so there was no excuse.,time side restaurant almost empty no excuse,time side restaurant almost empty no excuse,0
The service was terrible though.,service terrible though,service terrible though,0
The waitresses are very friendly.,waitress friendly,waitress friendly,1
Don't bother coming here.,not bother come,not bother come,0
The restaurant had uncomfortable chairs and cramped spaces.,restaurant uncomfortable chair cramp space,restaurant uncomfortable chair cramp space,0
Now this dish was quite flavourful.,dish quite flavourful,dish quite flavourful,1
The restaurant had quick service and efficient staff.,restaurant quick service efficient staff,restaurant quick service efficient staff,1
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",like reviewer say could not pay eat place,like reviewer say could not pay eat place,0
The staff was unhelpful and didn't provide good service.,staff unhelpful not provide good service,staff unhelpful not provide good service,0
The staff was disorganized and made mistakes with our orders.,staff disorganize make mistake order,staff disorganize make mistake order,0
Service was fine and the waitress was friendly.,service fine waitress friendly,service fine waitress friendly,1
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,kid pizza always hit lot great side dish option kiddos,kid pizza always hit lot great side dish option kiddos,1
The steak and the shrimp are in my opinion the best entrees at GC.,steak shrimp opinion best entree gc,steak shrimp opinion best entree gc,1
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",eat twice last visit especially enjoy salmon salad,eat twice last visit especially enjoy salmon salad,1
The food had a perfect balance of flavors and aromas.,food perfect balance flavor aroma,food perfect balance flavor aroma,1
The Macarons here are insanely good.,macarons insanely good,macarons insanely good,1
The food was overcooked and dry.,food overcook dry,food overcook dry,0
It'll be a regular stop on my trips to Phoenix!,itll regular stop trip phoenix,itll regular stop trip phoenix,1
The portions were generous and left us pleasantly full.,portion generous leave pleasantly full,portion generous leave pleasantly full,1
The waiter wasn't helpful or friendly and rarely checked on us.,waiter not helpful friendly rarely check,waiter not helpful friendly rarely check,0
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",good selection food include massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,good selection food include massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,1
These were so good we ordered them twice.,good order twice,good order twice,1
The restaurant had a cozy and welcoming environment.,restaurant cozy welcoming environment,restaurant cozy welcoming environment,1
The dishes were cold and unappetizing.,dish cold unappetizing,dish cold unappetizing,0
"Very good food, great atmosphere.1",good food great atmosphere,good food great atmosphere,1
The waiters were unfriendly and lacked basic courtesy.,waiter unfriendly lack basic courtesy,waiter unfriendly lack basic courtesy,0
My fiancé and I came in the middle of the day and we were greeted and seated right away.,fianc come middle day greet seat right away,fianc come middle day greet seat right away,1
I will not be eating there again.,not eat,not eat,0
The food took forever to arrive at our table.,food take forever arrive table,food take forever arrive table,0
Def coming back to bowl next time,def come back bowl next time,def come back bowl next time,1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,order duck rare pink tender inside nice char outside,order duck rare pink tender inside nice char outside,1
"Give it a try, you will be happy you did.",give try happy,give try happy,1
High-quality chicken on the chicken Caesar salad.,highquality chicken chicken caesar salad,highquality chicken chicken caesar salad,1
Seriously killer hot chai latte.,seriously killer hot chai latte,seriously killer hot chai latte,1
CONCLUSION: Very filling meals.,conclusion filling meal,conclusion filling meal,1
The food was a true culinary delight with its exquisite taste.,food true culinary delight exquisite taste,food true culinary delight exquisite taste,1
Service was fantastic.,service fantastic,service fantastic,1
This is a disgrace.,disgrace,disgrace,0
5 stars for the brick oven bread app!,star brick oven bread app,star brick oven bread app,1
The portions were overpriced and not worth the value.,portion overprice not worth value,portion overprice not worth value,0
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",first glance lovely bakery cafe nice ambiance clean friendly staff,first glance lovely bakery cafe nice ambiance clean friendly staff,1
"A couple of months later, I returned and had an amazing meal.",couple month later return amazing meal,couple month later return amazing meal,1
I don't know what kind it is but they have the best iced tea.,not know kind best iced tea,not know kind best iced tea,1
The staff was unresponsive and unattentive.,staff unresponsive unattentive,staff unresponsive unattentive,0
Both great!,great,great,1
I miss it and wish they had one in Philadelphia!,miss wish one philadelphia,miss wish one philadelphia,1
